platform	state	capture	pixels	sha256
ios	selected	../ios-iphone17/recommend-selected.png	1206x2622	fb4489f675f57aa66351c4ea703520a32238bddd787bf0548821b58db87444fe
android	selected	../android-sm-f968n/results.png	822x1918	cc81bbe74268f7eb226a358a8031c9ff887502d7b78efc9ad745548a0ef284aa
